Associated Gene Name	Description	Gene Biotype	NA
CABP1	calcium binding protein 1	protein_coding	9478
DAB1	disabled homolog 1 (Drosophila)	protein_coding	1600
AP000688.14		sense_intronic	NA
NAIP	NAIP protein	protein_coding	4671
ALG5	asparagine-linked glycosylation 5, dolichyl-phosphate beta-glucosyltransferase homolog (S. cerevisiae)	protein_coding	29880
HTR3B	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic	protein_coding	9177
TAS2R10	taste receptor, type 2, member 10	protein_coding	50839
AC018705.5		antisense	NA
AC062028.1		lincRNA	NA
RP11-429J17.2		antisense	NA
PRH1	proline-rich protein HaeIII subfamily 1	protein_coding	5554
LIMS3	LIM and senescent cell antigen-like-containing domain protein 3	protein_coding	96626
LIMS3	LIM and senescent cell antigen-like-containing domain protein 3	protein_coding	96626
RP11-429J17.6		processed_transcript	NA
HAND2	heart and neural crest derivatives expressed 2	protein_coding	9464
FBXL6	F-box and leucine-rich repeat protein 6	protein_coding	26233
EXOSC8	exosome component 8	protein_coding	11340
TAS2R13	taste receptor, type 2, member 13	protein_coding	50838
OMA1	OMA1 zinc metallopeptidase homolog (S. cerevisiae)	protein_coding	115209
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding	5555
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding	5555
HTR3A	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	protein_coding	3359
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	protein_coding	368
DSCR9	Down syndrome critical region gene 9 (non-protein coding)	lincRNA	257203
ADCK5	aarF domain containing kinase 5	protein_coding	203054
DSCR10	Down syndrome critical region gene 10 (non-protein coding)	lincRNA	259234
WRAP53	WD repeat containing, antisense to TP53	protein_coding	55135
FAM48A	family with sequence similarity 48, member A	protein_coding	55578
SMN2	survival motor neuron protein isoform d	protein_coding	6607
SMN2	survival motor neuron protein isoform d	protein_coding	6607
NXF4	nuclear RNA export factor 4 pseudogene	processed_transcript	55999
AC064875.2		lincRNA	NA
HABP2	hyaluronan binding protein 2	protein_coding	3026
TACSTD2	tumor-associated calcium signal transducer 2	protein_coding	4070
MYSM1	Myb-like, SWIRM and MPN domains 1	protein_coding	114803
SERF1B	small EDRK-rich factor 1 isoform 1	protein_coding	728492
SERF1B	small EDRK-rich factor 1 isoform 1	protein_coding	728492
FBXO8	F-box protein 8	protein_coding	26269
EFNB3	ephrin-B3	protein_coding	1949
CPSF1	cleavage and polyadenylation specific factor 1, 160kDa	protein_coding	29894
CPSF1	cleavage and polyadenylation specific factor 1, 160kDa	protein_coding	29894
CPSF1	cleavage and polyadenylation specific factor 1, 160kDa	protein_coding	29894
TAS2R14	taste receptor, type 2, member 14	protein_coding	50840
DNAH2	dynein, axonemal, heavy chain 2	protein_coding	146754
GTF2H2D	general transcription factor IIH, polypeptide 2D	protein_coding	730394
GTF2H2D	general transcription factor IIH, polypeptide 2D	protein_coding	730394
DSCAM-AS1	DSCAM antisense RNA 1 (non-protein coding)	antisense	100506492
MYCNOS	MYCN opposite strand/antisense RNA (non-protein coding)	antisense	10408
BDP1	transcription factor TFIIIB component B'' homolog	protein_coding	55814
JUN	jun proto-oncogene	protein_coding	3725
FGGY	FGGY carbohydrate kinase domain containing	protein_coding	55277
SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	protein_coding	6709
CSNK1A1L	casein kinase 1, alpha 1-like	protein_coding	122011
POSTN	periostin, osteoblast specific factor	protein_coding	10631
SLC39A4	solute carrier family 39 (zinc transporter), member 4	protein_coding	55630
MCCC2	methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	protein_coding	64087
KDM6B	lysine (K)-specific demethylase 6B	protein_coding	23135
VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)	protein_coding	51160
AC013400.2		lincRNA	NA
HOOK1	hook homolog 1 (Drosophila)	protein_coding	51361
AP001053.11		antisense	NA
TMEM88	transmembrane protein 88	protein_coding	92162
TONSL	tonsoku-like, DNA repair protein	protein_coding	4796
MIR939		sense_overlapping	100126351
TAS2R50	taste receptor, type 2, member 50	protein_coding	259296
TAS2R20	taste receptor, type 2, member 20	protein_coding	259295
TAS2R19	taste receptor, type 2, member 19	protein_coding	259294
LL0XNC01-157D4.1		lincRNA	NA
TAS2R31	taste receptor, type 2, member 31	protein_coding	259290
TAS2R46	taste receptor, type 2, member 46	protein_coding	259292
TAS2R43	taste receptor, type 2, member 43	protein_coding	259289
TRIM27	tripartite motif containing 27	protein_coding	5987
NRAP	nebulin-related anchoring protein	protein_coding	4892
ZNF311	zinc finger protein 311	protein_coding	282890
LSMD1	LSM domain containing 1	protein_coding	84316
OR2W1	olfactory receptor, family 2, subfamily W, member 1	protein_coding	26692
OR2B3	olfactory receptor, family 2, subfamily B, member 3	protein_coding	442184
OR2J3	olfactory receptor, family 2, subfamily J, member 3	protein_coding	442186
OR2J2	olfactory receptor, family 2, subfamily J, member 2	protein_coding	26707
OR14J1	olfactory receptor, family 14, subfamily J, member 1	protein_coding	442191
OR11A1	olfactory receptor, family 11, subfamily A, member 1	protein_coding	26531
TMEM196	transmembrane protein 196	protein_coding	256130
OR10C1	olfactory receptor, family 10, subfamily C, member 1	protein_coding	442194
OR2H1	olfactory receptor, family 2, subfamily H, member 1	protein_coding	26716
MAS1L	MAS1 oncogene-like	protein_coding	116511
TRUB1	TruB pseudouridine (psi) synthase homolog 1 (E. coli)	protein_coding	142940
GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	protein_coding	2550
TAS2R30	taste receptor, type 2, member 30	protein_coding	259293
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
HIST4H4	histone cluster 4, H4	protein_coding	121504
TAS2R42	taste receptor, type 2, member 42	protein_coding	353164
PRB3	proline-rich protein BstNI subfamily 3	polymorphic_pseudogene	5544
MACC1	metastasis associated in colon cancer 1	protein_coding	346389
KIAA0125	KIAA0125	protein_coding	9834
ATRNL1	attractin-like 1	protein_coding	26033
BRPF3	bromodomain and PHD finger containing, 3	protein_coding	27154
UBD	ubiquitin D	protein_coding	10537
OR2H2	olfactory receptor, family 2, subfamily H, member 2	protein_coding	7932
TMC7	transmembrane channel-like 7	protein_coding	79905
SRY	sex determining region Y	protein_coding	6736
PRB4	proline-rich protein BstNI subfamily 4	protein_coding	5545
MOG	myelin oligodendrocyte glycoprotein	protein_coding	4340
CEP44	centrosomal protein 44kDa	protein_coding	80817
H2AFJ	H2A histone family, member J	protein_coding	55766
PRB1	proline-rich protein BstNI subfamily 1	protein_coding	5542
ZNF143	zinc finger protein 143	protein_coding	7702
TRIM66	tripartite motif containing 66	protein_coding	9866
RPS4Y1	ribosomal protein S4, Y-linked 1	protein_coding	6192
ZFY	zinc finger protein, Y-linked	protein_coding	7544
PRB2	proline-rich protein BstNI subfamily 2	protein_coding	653247
TGIF2LY	TGFB-induced factor homeobox 2-like, Y-linked	protein_coding	90655
GAS2	growth arrest-specific 2	protein_coding	2620
AGMO	alkylglycerol monooxygenase	protein_coding	392636
PCDH11Y	protocadherin 11 Y-linked	protein_coding	83259
PCDH11Y	protocadherin 11 Y-linked	protein_coding	83259
TSPY2	testis specific protein, Y-linked 2	protein_coding	64591
NOMO3	NODAL modulator 3	protein_coding	408050
AMELY	amelogenin, Y-linked	protein_coding	266
SYT10	synaptotagmin X	protein_coding	341359
TBL1Y	transducin (beta)-like 1, Y-linked	protein_coding	90665
PRAP1	proline-rich acidic protein 1	protein_coding	118471
ZFP57	zinc finger protein 57 homolog (mouse)	protein_coding	346171
HLA-A	major histocompatibility complex, class I, A	protein_coding	3105
GPR116	G protein-coupled receptor 116	protein_coding	221395
RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	protein_coding	5898
TSPY4	testis specific protein, Y-linked 4	protein_coding	728395
ALG10	asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog (S. pombe)	protein_coding	84920
ETV6	ets variant 6	protein_coding	2120
C9orf116	chromosome 9 open reading frame 116	protein_coding	138162
C10orf125	chromosome 10 open reading frame 125	protein_coding	282969
MEOX2	mesenchyme homeobox 2	protein_coding	4223
TSPY3	testis specific protein, Y-linked 3	protein_coding	728137
TSPY3	testis specific protein, Y-linked 3	protein_coding	728137
PURA	purine-rich element binding protein A	protein_coding	5813
RPL27A	ribosomal protein L27a	protein_coding	6157
RPL27A	ribosomal protein L27a	protein_coding	6157
ZCWPW2	zinc finger, CW type with PWWP domain 2	protein_coding	152098
TSPY1	testis specific protein, Y-linked 1	protein_coding	7258
RP11-93L9.1		lincRNA	NA
TSPY10	testis specific protein, Y-linked 10	protein_coding	100289087
TSPY10	testis specific protein, Y-linked 10	protein_coding	100289087
CDK13	cyclin-dependent kinase 13	protein_coding	8621
PHAX	phosphorylated adaptor for RNA export	protein_coding	51808
ZNRD1	zinc ribbon domain containing 1	protein_coding	30834
ALG10B	asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog B (yeast)	protein_coding	144245
ALG10B	asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog B (yeast)	protein_coding	144245
SVIP	small VCP/p97-interacting protein	protein_coding	258010
USP9Y	ubiquitin specific peptidase 9, Y-linked	protein_coding	8287
MRPS2	mitochondrial ribosomal protein S2	protein_coding	51116
BCL2L14	BCL2-like 14 (apoptosis facilitator)	protein_coding	79370
ISPD	isoprenoid synthase domain containing	protein_coding	729920
PPP1R11	protein phosphatase 1, regulatory (inhibitor) subunit 11	protein_coding	6992
RNF39	ring finger protein 39	protein_coding	80352
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	protein_coding	3248
TRIM31	tripartite motif containing 31	protein_coding	11074
DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	protein_coding	8653
ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial	protein_coding	1892
PFDN1	prefoldin subunit 1	protein_coding	5201
RP5-1055C14.7		lincRNA	NA
TRIM40	tripartite motif containing 40	protein_coding	135644
CPNE8	copine VIII	protein_coding	144402
TRIM10	tripartite motif containing 10	protein_coding	10107
SOSTDC1	sclerostin domain containing 1	protein_coding	25928
TRIM15	tripartite motif containing 15	protein_coding	89870
PNPLA1	patatin-like phospholipase domain containing 1	protein_coding	285848
RBMS3	RNA binding motif, single stranded interacting protein 3	protein_coding	27303
C5orf48	chromosome 5 open reading frame 48	protein_coding	389320
UTY	ubiquitously transcribed tetratricopeptide repeat gene, Y-linked	protein_coding	7404
ZCCHC18	zinc finger, CCHC domain containing 18	lincRNA	644353
LMNB1	lamin B1	protein_coding	4001
RP11-17A1.2	uncharacterized protein LOC100500938	protein_coding	NA
PAOX	polyamine oxidase (exo-N4-amino)	protein_coding	196743
TRIM26	tripartite motif containing 26	protein_coding	7726
LRP6	low density lipoprotein receptor-related protein 6	protein_coding	4040
LUZP2	leucine zipper protein 2	protein_coding	338645
TRIM39	tripartite motif containing 39	protein_coding	56658
TRIM39	tripartite motif containing 39	protein_coding	56658
CRELD1	cysteine-rich with EGF-like domains 1	protein_coding	78987
APOBR	apolipoprotein B receptor	protein_coding	55911
TMSB4Y	thymosin beta 4, Y-linked	protein_coding	9087
LCN1	lipocalin 1	protein_coding	3933
VCY1B	variable charge, Y-linked 1B	protein_coding	353513
VCY1B	variable charge, Y-linked 1B	protein_coding	353513
VCY	variable charge, Y-linked	protein_coding	9084
VCY	variable charge, Y-linked	protein_coding	9084
NLGN4Y	neuroligin 4, Y-linked	protein_coding	22829
GPR110	G protein-coupled receptor 110	protein_coding	266977
RPP21	ribonuclease P/MRP 21kDa subunit	protein_coding	79897
IL27	interleukin 27	protein_coding	246778
CDY2B	chromodomain protein, Y-linked, 2B	protein_coding	203611
CDY2B	chromodomain protein, Y-linked, 2B	protein_coding	203611
CDY2A	chromodomain protein, Y-linked, 2A	protein_coding	9426
CDY2A	chromodomain protein, Y-linked, 2A	protein_coding	9426
CDY2A	chromodomain protein, Y-linked, 2A	protein_coding	9426
CDY2A	chromodomain protein, Y-linked, 2A	protein_coding	9426
C7orf10	chromosome 7 open reading frame 10	protein_coding	79783
ST5	suppression of tumorigenicity 5	protein_coding	6764
HSFY1	heat shock transcription factor, Y-linked 1	protein_coding	86614
HSFY1	heat shock transcription factor, Y-linked 1	protein_coding	86614
GNL1	guanine nucleotide binding protein-like 1	protein_coding	2794
HBEGF	heparin-binding EGF-like growth factor	protein_coding	1839
DHX16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	protein_coding	8449
OBP2A	odorant binding protein 2A	protein_coding	29991
HSFY2	heat shock transcription factor, Y linked 2	protein_coding	159119
HSFY2	heat shock transcription factor, Y linked 2	protein_coding	159119
ANO3	anoctamin 3	protein_coding	63982
NRM	nurim (nuclear envelope membrane protein)	protein_coding	11270
NUPR1	nuclear protein, transcriptional regulator, 1	protein_coding	26471
KIF21A	kinesin family member 21A	protein_coding	55605
KDM5D	lysine (K)-specific demethylase 5D	protein_coding	8284
ANKMY2	ankyrin repeat and MYND domain containing 2	protein_coding	57037
C6orf222	chromosome 6 open reading frame 222	protein_coding	389384
MDC1	mediator of DNA-damage checkpoint 1	protein_coding	9656
ETV7	ets variant 7	protein_coding	51513
EIF1AY	eukaryotic translation initiation factor 1A, Y-linked	protein_coding	9086
BZW2	basic leucine zipper and W2 domains 2	protein_coding	28969
TUBB	tubulin, beta class I	protein_coding	203068
GLRA3	glycine receptor, alpha 3	protein_coding	8001
RPS4Y2	ribosomal protein S4, Y-linked 2	protein_coding	140032
CASP7	caspase 7, apoptosis-related cysteine peptidase	protein_coding	840
RBMY1B	RNA binding motif protein, Y-linked, family 1, member B	protein_coding	378948
RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	protein_coding	5940
RBMY1E	RNA binding motif protein, Y-linked, family 1, member E	protein_coding	378950
RBMY1E	RNA binding motif protein, Y-linked, family 1, member E	protein_coding	378950
MARCH3	membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase	protein_coding	115123
RBMY1D	RNA binding motif protein, Y-linked, family 1, member D	protein_coding	378949
PRY2	PTPN13-like, Y-linked 2	protein_coding	442862
PRY2	PTPN13-like, Y-linked 2	protein_coding	442862
RBMY1F	RNA binding motif protein, Y-linked, family 1, member F	protein_coding	159163
RBMY1F	RNA binding motif protein, Y-linked, family 1, member F	protein_coding	159163
ADAM29	ADAM metallopeptidase domain 29	protein_coding	11086
PXT1	peroxisomal, testis specific 1	protein_coding	222659
FLOT1	flotillin 1	protein_coding	10211
DDR1	discoidin domain receptor tyrosine kinase 1	protein_coding	780
DDR1	discoidin domain receptor tyrosine kinase 1	protein_coding	780
MANSC1	MANSC domain containing 1	protein_coding	54682
SLC4A9	solute carrier family 4, sodium bicarbonate cotransporter, member 9	protein_coding	83697
RBMY1J	RNA binding motif protein, Y-linked, family 1, member J	protein_coding	378951
RBMY1J	RNA binding motif protein, Y-linked, family 1, member J	protein_coding	378951
CCDC101	coiled-coil domain containing 101	protein_coding	112869
MICB	MHC class I polypeptide-related sequence B	protein_coding	4277
PRY	PTPN13-like, Y-linked	protein_coding	9081
PRY	PTPN13-like, Y-linked	protein_coding	9081
PAEP	progestagen-associated endometrial protein	protein_coding	5047
MCCD1	mitochondrial coiled-coil domain 1	protein_coding	401250
BPY2	basic charge, Y-linked, 2	protein_coding	9083
BPY2	basic charge, Y-linked, 2	protein_coding	9083
BPY2	basic charge, Y-linked, 2	protein_coding	9083
DDX39B	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	protein_coding	7919
DDX39B	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	protein_coding	7919
INHBA	inhibin, beta A	protein_coding	3624
SULT1A2	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2	protein_coding	6799
MUC15	mucin 15, cell surface associated	protein_coding	143662
DAZ1	deleted in azoospermia 1	protein_coding	1617
DAZ1	deleted in azoospermia 1	protein_coding	1617
TNF	tumor necrosis factor	protein_coding	7124
LTB	lymphotoxin beta (TNF superfamily, member 3)	protein_coding	4050
LST1	leukocyte specific transcript 1	protein_coding	7940
PPP1R14D	protein phosphatase 1, regulatory (inhibitor) subunit 14D	protein_coding	54866
DAZ2	deleted in azoospermia 2	protein_coding	57055
DAZ2	deleted in azoospermia 2	protein_coding	57055
TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	protein_coding	7048
SPINT1	serine peptidase inhibitor, Kunitz type 1	protein_coding	6692
